Sentence,Final Intent
कति पर्नी हो बफ सुकुटीलाइ,बफ सुकुटी
बफ सुकुटीको पैसा कति पर्छ,बफ सुकुटी
कति पैसा पर्नी हो बफ सुकुटीलाइ,बफ सुकुटी
बफ सुकुटीलाइ कति रुपैया पर्छ,बफ सुकुटी
बफ सुकुटी कति रुपैयामा आउछ,बफ सुकुटी
कति रुपैयामा हो बफ सुकुटीको,बफ सुकुटी
बफ सुकुटी बन्न कति समय लाग्छ,बफ सुकुटी
बफ सुकुटी बनाउन कति समय लाग्छ,बफ सुकुटी
कति बेला बफ सुकुटी रेडी हुन्छ,बफ सुकुटी
कति बेला सम्म कुर्न पर्नी हो हामीलाई बफ सुकुटीको लागि,बफ सुकुटी
बफ सुकुटी बनाएर कति बेला रेडी हुन्छ,बफ सुकुटी
बफ सुकुटी बनाएर कति बेला तयार हुन्छ,बफ सुकुटी
बफ सुकुटीलाई कति समय लाग्छ,बफ सुकुटी
बफ सुकुटीलाई कति कुर्नु पर्छ,बफ सुकुटी
बफ सुकुटी कति बेला तयार हुन्छ,बफ सुकुटी
बफ सुकुटीलाई कति बेला सम्म कुर्नु पर्छ,बफ सुकुटी
चिकेन सुकुटी छ कि छैन,चिकेन सुकुटी
चिकेन सुकुटी पाउछ,चिकेन सुकुटी
चिकेन सुकुटी बन्छ कि नाई,चिकेन सुकुटी
चिकेन सुकुटी बनाउन मिल्छ,चिकेन सुकुटी
चिकेन सुकुटी सक्कियो कि नाई,चिकेन सुकुटी
चिकेन सुकुटी सक्केको हो र,चिकेन सुकुटी
चिकेन सुकुटी चाहिएको थियो पाउछ कि नाई,चिकेन सुकुटी
चिकेन सुकुटी होला,चिकेन सुकुटी
कति पर्छ चिकेन सुकुटीलाई,चिकेन सुकुटी
कति हो चिकेन सुकुटीको,चिकेन सुकुटी
चिकेन सुकुटीको पैसा कति हो,चिकेन सुकुटी
कति समय लाग्छ चिकेन सुकुटी बन्न,चिकेन सुकुटी
कति कुर्नु पर्छ चिकेन सुकुटीलाई,चिकेन सुकुटी
चिकेन सुकुटी कति बेला रेडी हुन्छ,चिकेन सुकुटी
कति बेला तयार हुन्छ चिकेन सुकुटी,चिकेन सुकुटी
कति बेला सम्म कुर्नु पर्छ चिकेन सुकुटीलाई,चिकेन सुकुटी
चिकेन सुकुटी छ,चिकेन सुकुटी
चिकेन सुकुटी छ कि नाई,चिकेन सुकुटी
चिकेन सुकुटी पाउछ कि नाई,चिकेन सुकुटी
चिकेन सुकुटी पाउछ कि पाउदैन,चिकेन सुकुटी
चिकेन सुकुटी बनाउन मिल्छ कि मिल्दैन,चिकेन सुकुटी
चिकेन सुकुटी बनाउन मिल्छ कि नाई,चिकेन सुकुटी
चिकेन सुकुटी सक्कियो र,चिकेन सुकुटी
चिकेन सुकुटीलाई कति हो,चिकेन सुकुटी
चिकेन सुकुटीलाई कति तिर्नु पर्नी हो,चिकेन सुकुटी
चिकेन सुकुटी कतिमा पाइन्छ,चिकेन सुकुटी
चिकेन सुकुटीलाई कति पर्न जान्छ,चिकेन सुकुटी
चिकेन सुकुटी कतिमा पाउछ होला,चिकेन सुकुटी
चिकेन सुकुटीलाइ कति पर्न जान्छ,चिकेन सुकुटी
कति पर्नी हो चिकेन सुकुटीलाइ,चिकेन सुकुटी
चिकेन सुकुटीको पैसा कति पर्छ,चिकेन सुकुटी
कति पैसा पर्नी हो चिकेन सुकुटीलाइ,चिकेन सुकुटी
चिकेन सुकुटीलाइ कति रुपैया पर्छ,चिकेन सुकुटी
चिकेन सुकुटी कति रुपैयामा आउछ,चिकेन सुकुटी
कति रुपैयामा हो चिकेन सुकुटीको,चिकेन सुकुटी
चिकेन सुकुटी बन्न कति समय लाग्छ,चिकेन सुकुटी
चिकेन सुकुटी बनाउन कति समय लाग्छ,चिकेन सुकुटी
कति बेला चिकेन सुकुटी रेडी हुन्छ,चिकेन सुकुटी
कति बेला सम्म कुर्न पर्नी हो हामीलाई चिकेन सुकुटीको लागि,चिकेन सुकुटी
चिकेन सुकुटी बनाएर कति बेला रेडी हुन्छ,चिकेन सुकुटी
चिकेन सुकुटी बनाएर कति बेला तयार हुन्छ,चिकेन सुकुटी
चिकेन सुकुटीलाई कति समय लाग्छ,चिकेन सुकुटी
चिकेन सुकुटीलाई कति कुर्नु पर्छ,चिकेन सुकुटी
चिकेन सुकुटी कति बेला तयार हुन्छ,चिकेन सुकुटी
चिकेन सुकुटीलाई कति बेला सम्म कुर्नु पर्छ,चिकेन सुकुटी
पकौडा छ कि छैन,पकौडा
पकौडा पाउछ,पकौडा
पकौडा बन्छ कि नाई,पकौडा
पकौडा बनाउन मिल्छ,पकौडा
पकौडा सक्कियो कि नाई,पकौडा
पकौडा सक्केको हो र,पकौडा
कुन कुन पकौडा छ,पकौडा
कस्तो कस्तो पकौडा छ,पकौडा
कति किसिमको पकौडा छ,पकौडा
कति प्रकारको पकौडा छ,पकौडा
पकौडा छ,पकौडा
पकौडा छ कि नाई,पकौडा
पकौडा पाउछ कि नाई,पकौडा
पकौडा पाउछ कि पाउदैन,पकौडा
पकौडा बनाउन मिल्छ कि मिल्दैन,पकौडा
पकौडा बनाउन मिल्छ कि नाई,पकौडा
पकौडा सक्कियो र,पकौडा
पकौडा कुन कुन छ,पकौडा
पकौडा कस्तो कस्तो छ र,पकौडा
कति प्रकारको पकौडा पाइन्छ यहाँ,पकौडा
कति किसिमको पकौडा पाइन्छ यहाँ,पकौडा
पकौडामा कुन छ,पकौडा
आलु पकौडा छ कि छैन,आलु पकौडा
आलु पकौडा पाउछ,आलु पकौडा
आलु पकौडा बन्छ कि नाई,आलु पकौडा
आलु पकौडा बनाउन मिल्छ,आलु पकौडा
आलु पकौडा सक्कियो कि नाई,आलु पकौडा
आलु पकौडा सक्केको हो र,आलु पकौडा
आलु पकौडा चाहिएको थियो पाउछ कि नाई,आलु पकौडा
आलु पकौडा होला,आलु पकौडा
कति पर्छ आलु पकौडालाई,आलु पकौडा
कति हो आलु पकौडाको,आलु पकौडा
आलु पकौडाको पैसा कति हो,आलु पकौडा
कति समय लाग्छ आलु पकौडा बन्न,आलु पकौडा
कति कुर्नु पर्छ आलु पकौडालाई,आलु पकौडा
आलु पकौडा कति बेला रेडी हुन्छ,आलु पकौडा
कति बेला तयार हुन्छ आलु पकौडा,आलु पकौडा
कति बेला सम्म कुर्नु पर्छ आलु पकौडालाई,आलु पकौडा
आलु पकौडा छ,आलु पकौडा
आलु पकौडा छ कि नाई,आलु पकौडा
आलु पकौडा पाउछ कि नाई,आलु पकौडा
आलु पकौडा पाउछ कि पाउदैन,आलु पकौडा
आलु पकौडा बनाउन मिल्छ कि मिल्दैन,आलु पकौडा
आलु पकौडा बनाउन मिल्छ कि नाई,आलु पकौडा
आलु पकौडा सक्कियो र,आलु पकौडा
आलु पकौडालाई कति हो,आलु पकौडा
आलु पकौडालाई कति तिर्नु पर्नी हो,आलु पकौडा
आलु पकौडा कतिमा पाइन्छ,आलु पकौडा
आलु पकौडालाई कति पर्न जान्छ,आलु पकौडा
आलु पकौडा कतिमा पाउछ होला,आलु पकौडा
आलु पकौडालाइ कति पर्न जान्छ,आलु पकौडा
कति पर्नी हो आलु पकौडालाइ,आलु पकौडा
आलु पकौडाको पैसा कति पर्छ,आलु पकौडा
कति पैसा पर्नी हो आलु पकौडालाइ,आलु पकौडा
आलु पकौडालाइ कति रुपैया पर्छ,आलु पकौडा
आलु पकौडा कति रुपैयामा आउछ,आलु पकौडा
कति रुपैयामा हो आलु पकौडाको,आलु पकौडा
आलु पकौडा बन्न कति समय लाग्छ,आलु पकौडा
आलु पकौडा बनाउन कति समय लाग्छ,आलु पकौडा
कति बेला आलु पकौडा रेडी हुन्छ,आलु पकौडा
कति बेला सम्म कुर्न पर्नी हो हामीलाई आलु पकौडाको लागि,आलु पकौडा
आलु पकौडा बनाएर कति बेला रेडी हुन्छ,आलु पकौडा
आलु पकौडा बनाएर कति बेला तयार हुन्छ,आलु पकौडा
आलु पकौडालाई कति समय लाग्छ,आलु पकौडा
आलु पकौडालाई कति कुर्नु पर्छ,आलु पकौडा
आलु पकौडा कति बेला तयार हुन्छ,आलु पकौडा
आलु पकौडालाई कति बेला सम्म कुर्नु पर्छ,आलु पकौडा
प्याज पकौडा छ कि छैन,प्याज पकौडा
प्याज पकौडा पाउछ,प्याज पकौडा
प्याजको पकौडा बन्छ कि नाई,प्याज पकौडा
प्याजको पकौडा बनाउन मिल्छ,प्याज पकौडा
प्याज पकौडा सक्कियो कि नाई,प्याज पकौडा
प्याज पकौडा सक्केको हो र,प्याज पकौडा
प्याज पकौडा चाहिएको थियो पाउछ कि नाई,प्याज पकौडा
प्याज पकौडा होला,प्याज पकौडा
कति पर्छ प्याज पकौडालाई,प्याज पकौडा
कति हो प्याज पकौडाको,प्याज पकौडा
प्याज पकौडाको पैसा कति हो,प्याज पकौडा
कति समय लाग्छ प्याज पकौडा बन्न,प्याज पकौडा
कति कुर्नु पर्छ प्याज पकौडालाई,प्याज पकौडा
प्याज पकौडा कति बेला रेडी हुन्छ,प्याज पकौडा
कति बेला तयार हुन्छ प्याज पकौडा,प्याज पकौडा
कति बेला सम्म कुर्नु पर्छ प्याज पकौडालाई,प्याज पकौडा
प्याज पकौडा छ,प्याज पकौडा
प्याज पकौडा छ कि नाई,प्याज पकौडा
प्याज पकौडा पाउछ कि नाई,प्याज पकौडा
प्याज पकौडा पाउछ कि पाउदैन,प्याज पकौडा
प्याज पकौडा बनाउन मिल्छ कि मिल्दैन,प्याज पकौडा
प्याज पकौडा बनाउन मिल्छ कि नाई,प्याज पकौडा
प्याज पकौडा सक्कियो र,प्याज पकौडा
प्याज पकौडालाई कति हो,प्याज पकौडा
प्याज पकौडालाई कति तिर्नु पर्नी हो,प्याज पकौडा
प्याज पकौडा कतिमा पाइन्छ,प्याज पकौडा
प्याज पकौडालाई कति पर्न जान्छ,प्याज पकौडा
प्याज पकौडा कतिमा पाउछ होला,प्याज पकौडा
प्याज पकौडालाइ कति पर्न जान्छ,प्याज पकौडा
कति पर्नी हो प्याज पकौडालाइ,प्याज पकौडा
प्याज पकौडाको पैसा कति पर्छ,प्याज पकौडा
कति पैसा पर्नी हो प्याज पकौडालाइ,प्याज पकौडा
प्याज पकौडालाइ कति रुपैया पर्छ,प्याज पकौडा
प्याज पकौडा कति रुपैयामा आउछ,प्याज पकौडा
कति रुपैयामा हो प्याज पकौडाको,प्याज पकौडा
प्याज पकौडा बन्न कति समय लाग्छ,प्याज पकौडा
प्याज पकौडा बनाउन कति समय लाग्छ,प्याज पकौडा
कति बेला प्याज पकौडा रेडी हुन्छ,प्याज पकौडा
कति बेला सम्म कुर्न पर्नी हो हामीलाई प्याज पकौडाको लागि,प्याज पकौडा
प्याज पकौडा बनाएर कति बेला रेडी हुन्छ,प्याज पकौडा
प्याज पकौडा बनाएर कति बेला तयार हुन्छ,प्याज पकौडा
प्याज पकौडालाई कति समय लाग्छ,प्याज पकौडा
प्याज पकौडालाई कति कुर्नु पर्छ,प्याज पकौडा
प्याज पकौडा कति बेला तयार हुन्छ,प्याज पकौडा
प्याज पकौडालाई कति बेला सम्म कुर्नु पर्छ,प्याज पकौडा
चिसो छ कि छैन,चिसो
चिसो पाउछ,चिसो
चिसो बन्छ कि नाई,चिसो
चिसो बनाउन मिल्छ,चिसो
चिसो सक्कियो कि नाई,चिसो
चिसो सक्केको हो र,चिसो
चिसो चाहिएको थियो पाउछ कि नाई,चिसो
चिसो होला,चिसो
कुन कुन चिसो छ,चिसो
कस्तो कस्तो चिसो छ,चिसो
कति किसिमको चिसो छ,चिसो
कति प्रकारको चिसो छ,चिसो
चिसोको कति पर्छ,चिसो
चिसोको कति हो,चिसो
पैसा कति हो चिसोको,चिसो
चिसो छ,चिसो
चिसो छ कि नाई,चिसो
चिसो पाउछ कि नाई,चिसो
चिसो पाउछ कि पाउदैन,चिसो
चिसो बनाउन मिल्छ कि मिल्दैन,चिसो
चिसो बनाउन मिल्छ कि नाई,चिसो
चिसो सक्कियो र,चिसो
चिसो कुन कुन छ,चिसो
चिसो कस्तो कस्तो छ र,चिसो
कति प्रकारको चिसो पाइन्छ यहाँ,चिसो
कति किसिमको चिसो पाइन्छ यहाँ,चिसो
चिसोमा कुन छ,चिसो
चिसोलाई कति हो,चिसो
चिसोलाई कति तिर्नु पर्नी हो,चिसो
चिसो कतिमा पाइन्छ,चिसो
चिसो कतिमा पाउछ होला,चिसो
चिसोलाइ कति पर्न जान्छ,चिसो
कति पर्नी हो चिसोलाइ,चिसो
चिसोको पैसा कति पर्छ,चिसो
कति पैसा पर्नी हो चिसोलाइ,चिसो
चिसोलाइ कति रुपैया पर्छ,चिसो
चिसो कति रुपैयामा आउछ,चिसो
कति रुपैयामा हो चिसोको,चिसो
कोक छ,कोक
कोक पाइन्छ,कोक
कोकाकोला पाउला कि नाई,कोक
कोकाकोला छ कि छैन,कोक
कोकाकोलालाई कति हो,कोक
पैसा कति हो कोकको,कोक
कति तिर्नु पर्नी हो कोकलाई,कोक
कतिमा पाइन्छ कोकाकोला,कोक
कति पर्न जान्छ कोकलाई,कोक
कोक छ कि छैन,कोक
कोक पाउछ,कोक
कोक सक्कियो कि नाई,कोक
कोक सक्केको हो र,कोक
कोक चाहिएको थियो पाउछ कि नाई,कोक
कोक होला,कोक
कोक छ कि नाई,कोक
कोक पाउछ कि नाई,कोक
कोक पाउछ कि पाउदैन,कोक
कोक सक्कियो र,कोक
कोकाकोला छ कि छैन,कोक
कोकाकोला पाउछ,कोक
कोकाकोला सक्कियो कि नाई,कोक
कोकाकोला सक्केको हो र,कोक
कोकाकोला चाहिएको थियो पाउछ कि नाई,कोक
कोकाकोला होला,कोक
कोकाकोला छ कि नाई,कोक
कोकाकोला पाउछ कि नाई,कोक
कोकाकोला पाउछ कि पाउदैन,कोक
कोकाकोला सक्कियो र,कोक
कोकलाई कति हो,कोक
कोकलाई कति तिर्नु पर्नी हो,कोक
कोक कतिमा पाइन्छ,कोक
कोक कतिमा पाउछ होला,कोक
कोकलाइ कति पर्न जान्छ,कोक
कति पर्नी हो कोकलाइ,कोक
कोकको पैसा कति पर्छ,कोक
कति पैसा पर्नी हो कोकलाइ,कोक
कोकलाइ कति रुपैया पर्छ,कोक
कोक कति रुपैयामा आउछ,कोक
कति रुपैयामा हो कोकको,कोक
कोकाकोलालाई कति हो,कोक
कोकाकोलालाई कति तिर्नु पर्नी हो,कोक
कोकाकोला कतिमा पाइन्छ,कोक
कोकाकोला कतिमा पाउछ होला,कोक
कोकाकोलालाइ कति पर्न जान्छ,कोक
कति पर्नी हो कोकाकोलालाइ,कोक
कोकाकोलाको पैसा कति पर्छ,कोक
कति पैसा पर्नी हो कोकाकोलालाइ,कोक
कोकाकोलालाइ कति रुपैया पर्छ,कोक
कोकाकोला कति रुपैयामा आउछ,कोक
कति रुपैयामा हो कोकाकोलाको,कोक
स्प्राइट छ,स्प्राइट
स्प्राइट पाइन्छ,स्प्राइट
स्प्राइट पाउला कि नाई,स्प्राइट
स्प्राइटलाई कति हो,स्प्राइट
पैसा कति हो स्प्राइटको,स्प्राइट
कति तिर्नु पर्नी हो स्प्राइटलाई,स्प्राइट
कतिमा पाइन्छ स्प्राइट,स्प्राइट
कति पर्न जान्छ स्प्राइटलाई,स्प्राइट
स्प्राइट छ कि छैन,स्प्राइट
स्प्राइट पाउछ,स्प्राइट
स्प्राइट सक्कियो कि नाई,स्प्राइट
स्प्राइट सक्केको हो र,स्प्राइट
स्प्राइट चाहिएको थियो पाउछ कि नाई,स्प्राइट
स्प्राइट होला,स्प्राइट
स्प्राइट छ कि नाई,स्प्राइट
स्प्राइट पाउछ कि नाई,स्प्राइट
स्प्राइट पाउछ कि पाउदैन,स्प्राइट
स्प्राइट सक्कियो र,स्प्राइट
स्प्राइटलाई कति तिर्नु पर्नी हो,स्प्राइट
स्प्राइट कतिमा पाइन्छ,स्प्राइट
स्प्राइट कतिमा पाउछ होला,स्प्राइट
स्प्राइटलाइ कति पर्न जान्छ,स्प्राइट
कति पर्नी हो स्प्राइटलाइ,स्प्राइट
स्प्राइटको पैसा कति पर्छ,स्प्राइट
कति पैसा पर्नी हो स्प्राइटलाइ,स्प्राइट
स्प्राइटलाइ कति रुपैया पर्छ,स्प्राइट
स्प्राइट कति रुपैयामा आउछ,स्प्राइट
कति रुपैयामा हो स्प्राइटको,स्प्राइट
फेन्टा छ,फेन्टा
फेन्टा पाइन्छ,फेन्टा
फेन्टा पाउला कि नाई,फेन्टा
फेन्टालाई कति हो,फेन्टा
पैसा कति हो फेन्टाको,फेन्टा
कति तिर्नु पर्नी हो फेन्टालाई,फेन्टा
फेन्टा कतिमा पाइन्छ,फेन्टा
कति पर्न जान्छ फेन्टालाई,फेन्टा
फेन्टा छ कि छैन,फेन्टा
फेन्टा पाउछ,फेन्टा
फेन्टा सक्कियो कि नाई,फेन्टा
फेन्टा सक्केको हो र,फेन्टा
फेन्टा चाहिएको थियो पाउछ कि नाई,फेन्टा
फेन्टा होला,फेन्टा
फेन्टा छ कि नाई,फेन्टा
फेन्टा पाउछ कि नाई,फेन्टा
फेन्टा पाउछ कि पाउदैन,फेन्टा
फेन्टा सक्कियो र,फेन्टा
फेन्टालाई कति तिर्नु पर्नी हो,फेन्टा
फेन्टा कतिमा पाइन्छ,फेन्टा
फेन्टालाई कति पर्न जान्छ,फेन्टा
फेन्टा कतिमा पाउछ होला,फेन्टा
कति पर्नी हो फेन्टालाइ,फेन्टा
फेन्टाको पैसा कति पर्छ,फेन्टा
कति पैसा पर्नी हो फेन्टालाइ,फेन्टा
फेन्टालाइ कति रुपैया पर्छ,फेन्टा
फेन्टा कति रुपैयामा आउछ,फेन्टा
कति रुपैयामा हो फेन्टाको,फेन्टा
डिउ छ,डिउ
डिउ पाइन्छ,डिउ
डिउ पाउला कि नाई,डिउ
डिउलाई कति हो,डिउ
पैसा कति हो डिउको,डिउ
कति तिर्नु पर्नी हो डिउलाई,डिउ
डिउ कतिमा पाइन्छ,डिउ
कति पर्न जान्छ डिउलाई,डिउ
डिउ छ कि छैन,डिउ
डिउ पाउछ,डिउ
डिउ सक्कियो कि नाई,डिउ
डिउ सक्केको हो र,डिउ
डिउ चाहिएको थियो पाउछ कि नाई,डिउ
डिउ होला,डिउ
डिउ छ कि नाई,डिउ
डिउ पाउछ कि नाई,डिउ
डिउ पाउछ कि पाउदैन,डिउ
डिउ सक्कियो र,डिउ
डिउलाई कति तिर्नु पर्नी हो,डिउ
डिउ कतिमा पाइन्छ,डिउ
डिउ कतिमा पाउछ होला,डिउ
डिउलाइ कति पर्न जान्छ,डिउ
कति पर्नी हो डिउलाइ,डिउ
डिउको पैसा कति पर्छ,डिउ
कति पैसा पर्नी हो डिउलाइ,डिउ
डिउलाइ कति रुपैया पर्छ,डिउ
डिउ कति रुपैयामा आउछ,डिउ
कति रुपैयामा हो डिउको,डिउ
बियर सक्केको हो र,बियर
बियर छ कि छैन,बियर
बियर पाउछ,बियर
बियर होला,बियर
कुन कुन बियर छ,बियर
कस्तो कस्तो बियर छ,बियर
कति किसिमको बियर छ,बियर
कति प्रकारको बियरहरू छन यहाँ,बियर
बियर छ,बियर
बियर पाइन्छ,बियर
बियर पाउला कि नाई,बियर
बियर सक्कियो कि नाई,बियर
बियर चाहिएको थियो पाउछ कि नाई,बियर
बियर छ कि नाई,बियर
बियर पाउछ कि नाई,बियर
बियर पाउछ कि पाउदैन,बियर
बियर सक्कियो र,बियर
बियर कुन कुन छ,बियर
बियर कस्तो कस्तो छ र,बियर
कति प्रकारको बियर पाइन्छ यहाँ,बियर
कति किसिमको बियर पाइन्छ यहाँ,बियर
बियरमा कुन छ,बियर
टुबोर्ग स्ट्रोङ छ,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ पाइन्छ,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ पाउला कि नाई,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङको कति हो,टुबोर्ग स्ट्रोङ
पैसा कति हो टुबोर्ग स्ट्रोङको,टुबोर्ग स्ट्रोङ
कति तिर्नु पर्नी हो टुबोर्ग स्ट्रोङलाई,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ कतिमा पाइन्छ,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङलाई कति पर्न जान्छ,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ छ कि छैन,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ पाउछ,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ सक्कियो कि नाई,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ सक्केको हो र,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ चाहिएको थियो पाउछ कि नाई,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ होला,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ छ कि नाई,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ पाउछ कि नाई,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ पाउछ कि पाउदैन,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ सक्कियो र,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङलाई कति तिर्नु पर्नी हो,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ कतिमा पाइन्छ,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ कतिमा पाउछ होला,टुबोर्ग स्ट्रोङ
कति पर्नी हो टुबोर्ग स्ट्रोङलाइ,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङको पैसा कति पर्छ,टुबोर्ग स्ट्रोङ
कति पैसा पर्नी हो टुबोर्ग स्ट्रोङलाइ,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङलाइ कति रुपैया पर्छ,टुबोर्ग स्ट्रोङ
टुबोर्ग स्ट्रोङ कति रुपैयामा आउछ,टुबोर्ग स्ट्रोङ
कति रुपैयामा हो टुबोर्ग स्ट्रोङको,टुबोर्ग स्ट्रोङ
टुबोर्ग डिलक्स छ,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स पाइन्छ,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स पाउला कि नाई,टुबोर्ग डिलक्स
टुबोर्ग डिलक्सको कति हो,टुबोर्ग डिलक्स
पैसा कति हो टुबोर्ग डिलक्सको,टुबोर्ग डिलक्स
कति तिर्नु पर्नी हो टुबोर्ग डिलक्सलाई,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स कतिमा पाइन्छ,टुबोर्ग डिलक्स
टुबोर्ग डिलक्सलाई कति पर्न जान्छ,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स छ कि छैन,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स पाउछ,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स सक्कियो कि नाई,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स सक्केको हो र,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स चाहिएको थियो पाउछ कि नाई,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स होला,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स छ कि नाई,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स पाउछ कि नाई,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स पाउछ कि पाउदैन,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स सक्कियो र,टुबोर्ग डिलक्स
टुबोर्ग डिलक्सलाई कति तिर्नु पर्नी हो,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स कतिमा पाइन्छ,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स कतिमा पाउछ होला,टुबोर्ग डिलक्स
कति पर्नी हो टुबोर्ग डिलक्सलाइ,टुबोर्ग डिलक्स
टुबोर्ग डिलक्सको पैसा कति पर्छ,टुबोर्ग डिलक्स
कति पैसा पर्नी हो टुबोर्ग डिलक्सलाइ,टुबोर्ग डिलक्स
टुबोर्ग डिलक्सलाइ कति रुपैया पर्छ,टुबोर्ग डिलक्स
टुबोर्ग डिलक्स कति रुपैयामा आउछ,टुबोर्ग डिलक्स
कति रुपैयामा हो टुबोर्ग डिलक्सको,टुबोर्ग डिलक्स
टुबोर्ग गोल्ड छ,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड पाइन्छ,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड पाउला कि नाई,टुबोर्ग गोल्ड
टुबोर्ग गोल्डको कति हो,टुबोर्ग गोल्ड
पैसा कति हो टुबोर्ग गोल्डको,टुबोर्ग गोल्ड
कति तिर्नु पर्नी हो टुबोर्ग गोल्डलाई,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड कतिमा पाइन्छ,टुबोर्ग गोल्ड
टुबोर्ग गोल्डलाई कति पर्न जान्छ,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड छ कि छैन,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड पाउछ,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड सक्कियो कि नाई,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड सक्केको हो र,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड चाहिएको थियो पाउछ कि नाई,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड होला,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड छ कि नाई,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड पाउछ कि नाई,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड पाउछ कि पाउदैन,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड सक्कियो र,टुबोर्ग गोल्ड
टुबोर्ग गोल्डलाई कति तिर्नु पर्नी हो,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड कतिमा पाइन्छ,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड कतिमा पाउछ होला,टुबोर्ग गोल्ड
कति पर्नी हो टुबोर्ग गोल्डलाइ,टुबोर्ग गोल्ड
टुबोर्ग गोल्डको पैसा कति पर्छ,टुबोर्ग गोल्ड
कति पैसा पर्नी हो टुबोर्ग गोल्डलाइ,टुबोर्ग गोल्ड
टुबोर्ग गोल्डलाइ कति रुपैया पर्छ,टुबोर्ग गोल्ड
टुबोर्ग गोल्ड कति रुपैयामा आउछ,टुबोर्ग गोल्ड
कति रुपैयामा हो टुबोर्ग गोल्डको,टुबोर्ग गोल्ड
अर्ना बियर छ,अर्ना
अर्ना बियर पाइन्छ,अर्ना
अर्ना पाउला कि नाई,अर्ना
अर्ना बियरको कति हो,अर्ना
पैसा कति हो अर्नाको,अर्ना
कति तिर्नु पर्नी हो अर्नालाई,अर्ना
अर्ना बियर कतिमा पाइन्छ,अर्ना
अर्ना बियरलाई कति पर्न जान्छ,अर्ना
अर्ना छ कि छैन,अर्ना
अर्ना पाउछ,अर्ना
अर्ना सक्कियो कि नाई,अर्ना
अर्ना सक्केको हो र,अर्ना
अर्ना चाहिएको थियो पाउछ कि नाई,अर्ना
अर्ना होला,अर्ना
अर्ना छ कि नाई,अर्ना
अर्ना पाउछ कि नाई,अर्ना
अर्ना पाउछ कि पाउदैन,अर्ना
अर्ना सक्कियो र,अर्ना
अर्नालाई कति तिर्नु पर्नी हो,अर्ना
अर्ना कतिमा पाइन्छ,अर्ना
अर्नालाई कति पर्न जान्छ,अर्ना
अर्ना कतिमा पाउछ होला,अर्ना
कति पर्नी हो अर्नालाइ,अर्ना
अर्नाको पैसा कति पर्छ,अर्ना
कति पैसा पर्नी हो अर्नालाइ,अर्ना
अर्नालाइ कति रुपैया पर्छ,अर्ना
अर्ना कति रुपैयामा आउछ,अर्ना
